School_Name,Area_50m_Concrete_percent,Area_50m_Concrete_sqm,Area_50m_Building_percent,Area_50m_Building_sqm,Area_50m_LowVege_percent,Area_50m_LowVege_sqm,Area_50m_Tree_percent,Area_50m_Tree_sqm,Area_50m_Water_percent,Area_50m_Water_sqm
"Kennedy,_Patrick_Elementa",51.353871577824805,4033.323642057202,24.03988889795456,1888.088458873222,5.207926709266468,409.0296072566401,15.473145713083023,1215.2580225036506,0.0,0.0
"Ellis,_David_A__Elementar",42.673967240762664,3351.6055495777873,21.292371525873126,1672.2989490796876,13.42854985258658,1054.6758391312574,19.391205119142143,1522.9816886637436,0.0,0.0
"Blackstone,_William_Eleme",38.86266575113429,3052.266630566978,24.73739272804317,1942.8702815846498,13.23812967862178,1039.7202736406798,17.90713565182217,1406.4231452650101,0.0,0.0
"Otis,_James_Elementary_50",44.97534155692776,3532.3550656983994,28.053452317981503,2203.3129927500563,6.243295243939654,490.3472618138228,15.632191697302789,1227.749464893845,0.0,0.0
Community_Academy_of_Scie,45.67727535023045,3587.484816907053,26.534470674676637,2084.012453461448,7.153933241571327,561.8686028998073,14.955683802987906,1174.6166591219667,0.0,0.0
Curley_K8_Lower_School_50,48.371244743907994,3799.068678311381,26.650144635946305,2093.0974651348583,4.6710398862505595,366.8626147817415,15.531894116774634,1219.8721113398428,0.0,0.0
Madison_Park_Technical_Vo,43.58480185727288,3423.142333074381,26.660248698366274,2093.891036341608,6.9455864580868845,545.5050847899627,20.251203552337074,1590.5258076593418,0.0,0.0
Boston_Green_Academy__50m,45.025023154244124,3536.257049227092,26.318690705758975,2067.065134332859,7.959952465498313,625.1732047133365,16.36180463722535,1285.0531311944644,0.0,0.0
Boston_Teachers_Union_K8_,43.36929287378118,3406.216297091378,22.162208082191643,1740.6157524585399,6.835483529264935,536.8576209818189,20.706077428029356,1626.2515183139617,0.0,0.0
Horace_Mann_School_for_th,49.950161116357435,3923.0764802193767,21.6644446131844,1701.521501022077,5.4423284827122425,427.4394794927817,19.55467195484631,1535.820343917588,0.08023305131852795,6.301489114934507
"Mendell,_Ellis_Elementary",40.88446110509445,3211.0580663435594,23.59691113730332,1853.2970669090819,10.114192016858107,794.366783428949,21.33928048897903,1675.9831704267133,0.0,0.0
"Beethoven,_Ludwig_Van_Ele",39.06361400874465,3068.049069813488,26.87131412121424,2110.468075887758,5.830363343569173,457.9156661979035,24.447945318857798,1920.1371352272156,0.0,0.0
Mission_Hill_K8__50m,46.37945508294484,3642.633884151932,23.423794680689298,1839.7005322012294,10.952599479974145,860.2151515999542,15.415892918407382,1210.7613985248886,0.005341009865578302,0.4194819339112851
Jackson_Mann_K8__50m,49.950161116357435,3923.0764802193767,21.6644446131844,1701.521501022077,5.4423284827122425,427.4394794927817,19.55467195484631,1535.820343917588,0.08023305131852795,6.301489114934507
"Grew,_Henry_Elementary_50",48.7465822912527,3828.5476203452445,22.589805413606605,1774.1991683352362,6.245225905710516,490.49889563472044,16.923045297141513,1329.1328695466768,0.0,0.0
Brighton_High_50m,42.45988059748452,3334.7912239339294,21.631456820809706,1698.9306458675146,7.96316718187515,625.4256879471577,21.69703643690728,1704.081256871449,0.0,0.0
"Umana_Academy,_Mario_K8_5",42.192075348165034,3313.757848837557,23.5342286980102,1848.3739996392733,13.032526800261262,1023.5722613353219,16.480072047057153,1294.3418318416313,0.0,0.0
Community_Academy_50m,42.36851660692159,3327.61551289505,21.814371499910113,1713.2967311699042,6.490771625015023,509.78401133190704,24.830303916408774,1950.1675092547919,0.0,0.0
"Edwards,_Clarence_R__Midd",39.81376687749438,3126.965938351824,28.651963178391455,2250.3199258039963,5.619141781515444,441.3263635072096,19.890150527180836,1562.1687693746617,0.0,0.0
"Kilmer,_Joyce_K8_Lower_Sc",43.42971759085678,3410.9620432728766,22.82869555869606,1792.961556455937,8.784778065899838,689.954855881192,18.222230379368483,1431.1706272961194,0.0,0.0
West_Zone_Early_Learning_,43.26186825203961,3397.7791870294286,24.93142992510127,1958.109927404672,4.522807784072809,355.2204927010466,23.171071942706735,1819.8517347752013,0.0,0.0
"Quincy,_Josiah_Upper_Scho",44.76067614002261,3515.495283280174,22.104235778514973,1736.0626183749823,7.4281681226822,583.4069600962071,20.728273389164517,1627.9947850250014,0.0,0.0
UP_Academy_Holland_50m,47.84093040587435,3757.4178875998855,25.454945142872344,1999.2267164594734,6.081407372101711,477.6326180920386,15.030001521729044,1180.4535591026843,0.11216598806767536,8.809496102401232
"ODonnell,_Hugh_R__Element",40.90184631139312,3212.423497253285,27.114697117250984,2129.583331696701,7.851090317657924,616.6231916156023,16.81174116166687,1320.3910631886442,0.0,0.0
"Perkins,_Michael_J__Eleme",42.92358555218214,3371.2105259117097,22.399352942302244,1759.2410662175412,8.929871022467664,701.3504300422196,17.30822868268979,1359.3851019047597,0.0,0.0
"Quincy,_Josiah_Elementary",35.505574218029786,2788.6012781212385,30.565838479501455,2400.6353404503498,9.626050868811644,756.0282673135076,18.65379400414287,1465.0655551248144,0.01333407376660602,1.0472557046898463
"Channing,_William_E__Elem",43.14845944133712,3388.872079865546,20.406760810257612,1602.7432461267354,9.63038611849993,756.3687570278125,23.649347760260554,1857.4154296456195,0.0,0.0
Boston_Community_Leadersh,42.91241361350387,3370.3330838997604,23.971367084229144,1882.7067682079617,5.987390584271782,470.2485568430232,20.45430017616851,1606.4769791942851,0.0,0.0
"Philbrick,_John_D__Elemen",44.44347717828136,3490.582535081859,17.34798622701553,1362.5076521342223,10.086773913642688,792.2133706380259,21.425079531129498,1682.7218114393372,0.2498553383530252,19.6235923857514
"Hernandez,_Rafael_K8_50m",43.57341112166987,3422.2477067921463,17.712491237779293,1391.1358087345252,13.738660094229882,1079.0318405549963,22.324282114904907,1753.3450172212818,0.0,0.0
Harvard_Kent_Elementary_5,39.867052363945824,3131.150970671295,26.09134012838352,2049.209061741056,10.396179640591884,816.5140396070809,20.072889538490184,1576.5210577610044,0.0,0.0
"Ohrenberger,_William_H__K",42.178076595726836,3312.658389392075,22.40973800173159,1760.0567068777993,9.14774130653551,718.4619221387965,19.09811680714618,1499.962586468255,0.0,0.0
"Conley,_George_H__Element",43.479208464729886,3414.8490474173636,18.829111285380055,1478.834942194366,6.809141141376735,534.7886946751291,25.155748642840116,1975.7278782974477,0.0,0.0
"Adams,_Samuel_Elementary_",44.95071096728825,3530.420583711773,27.22920733647209,2138.5769432833504,4.522555570824708,355.20068391886235,18.74851099619505,1472.5046102848457,0.0,0.0
"Winthrop,_John_Elementary",39.344073790075385,3090.076329529889,28.387146974630788,2229.5213097968453,8.611107678458213,676.3148155478746,20.253669092865735,1590.719450759641,0.0,0.0
Dorchester_Academy__50m,45.67727535023045,3587.484816907053,26.534470674676637,2084.012453461448,7.153933241571327,561.8686028998073,14.955683802987906,1174.6166591219667,0.0,0.0
Higginson_Elementary_50m,44.78750067940425,3517.6020776766063,24.082432496541198,1891.429825292648,6.938269880205978,544.9304421069609,19.8826827267532,1561.5822497006131,0.0,0.0
Mildred_Avenue_K8_50m,52.89691202645024,4154.513755497041,22.538766580492528,1770.1905877562617,3.973474353811779,312.07594597906336,15.640716154744808,1228.418974215737,0.0,0.0
"Sumner,_Charles_Elementar",40.116554072124416,3150.7467890080943,25.35099313021917,1991.0623444775463,9.865134063612437,774.8058175230815,20.361534513249463,1599.1911810659883,0.0,0.0
Mattahunt_Elementary_50m,33.442935328110615,2626.601998531771,31.18558522955272,2449.31013637653,11.932500274267193,937.1763800149001,19.983705487168805,1569.516558749789,0.0,0.0
"Roosevelt,_Franklin_D__K8",43.299191050128755,3400.7105127366353,30.194268161570143,2371.452275922724,7.276867553454972,571.5238411770018,14.400547389657595,1131.0163471754993,0.0,0.0
Lee_Academy_at_the_Fifiel,41.75801813082602,3279.6670747068097,23.797009790947214,1869.0127784161036,8.711848408734477,684.2269740017041,20.113590339205544,1579.7176911740694,0.0,0.0
UP_Academy_Dorchester_50m,42.959627486281185,3374.041252796378,31.023760285247835,2436.6004349716345,4.695389940608975,368.7750635789143,15.678441228269799,1231.3818945617934,0.0,0.0
"Bradley,_Manassah_E__Elem",41.76266964232491,3280.032403565635,24.985991468338838,1962.3951809897635,12.42389952761077,975.7707871219924,15.918471286954757,1250.2338112869281,0.0,0.0
"Kilmer,_Joyce_K8_Upper_Sc",48.333609752966986,3796.1128330349266,21.33375921913747,1675.549530907395,8.297515195814864,651.6853195555412,17.42578080318688,1368.6176238589483,0.0,0.0
"Chittick,_James_J__Elemen",47.66953503343305,3743.9565265268634,22.176188605305867,1741.7137801762651,6.230417329429787,489.3358327733789,15.679110286789829,1231.4344422950771,0.0,0.0
"Murphy,_Richard_K8_50m",38.27424068093906,3006.051833624144,22.596375494254115,1774.7151812626291,10.203068088250108,801.3470937530749,23.602551929541672,1853.740093695493,0.0,0.0
Snowden_International_Sch,42.56173755625735,3342.791050768872,23.51777947224288,1847.0820804685766,9.888843555537841,776.6679566644112,20.764995054702435,1630.8788978920388,0.0,0.0
"Frederick,_Lilla_G__Middl",39.95582576443043,3138.1232172412106,27.126869667336056,2130.539361544769,4.3452227312615825,341.2729952685691,18.97389243734108,1490.206027278842,0.0,0.0
"Lyndon,_Patrick_K8_50m",40.89798425524035,3212.120172072353,30.960492520299088,2431.631396332334,6.214221289404833,488.06379876438785,18.328415699972094,1439.510402874304,0.0,0.0
"Irving,_Washington_Middle",37.31176559425774,2930.459217084613,29.834167460240884,2343.1700329765104,7.310349745986332,574.1535264290668,21.931217042198575,1722.473758601358,0.0,0.0
"Guild,_Curtis_Elementary_",40.577125473532234,3186.919982286003,25.906492436714462,2034.6911579865423,8.081055604171235,634.6846229828744,17.68640888607479,1389.087305621945,0.0,0.0
"McKay,_Donald_K8_50m",39.29149284608175,3085.946631845659,24.722660103622502,1941.7131839684482,14.798454227818272,1162.2678771649676,16.14795630498494,1268.2575224557415,0.0,0.0
Higginson_Lewis_K8_50m,39.88313037655752,3132.4137348289255,23.48325724595651,1844.3707111564058,9.117437473083779,716.0818646251072,22.271222357710865,1749.1777136362302,0.0,0.0
"Timilty,_James_P__Middle_",42.486327079938086,3336.8683258086644,24.416497970885356,1917.6672662930882,6.757717877814927,530.7499209993945,21.888632402178704,1719.129168795303,0.0,0.0
"Trotter,_William_Monroe_K",37.756044382721946,2965.3527915342356,26.80046664557119,2104.9037281626183,14.528365667547435,1141.0551712458298,16.227103641528267,1274.4737397316344,0.0,0.0
"Bates,_Phineas_Elementary",45.23700271571348,3552.905885052675,19.756042024598848,1551.6359122122742,7.8852601879634925,619.3068869537545,19.18148712608334,1506.5104760057654,0.02139595832444894,1.6804346372150545
