SchoolName,NCESID,Lat,Long,N,E,S,W,N_window_area,E_window_area,S_window_area,W_window_area,NE,SE,SW,NW,NE_window_area,SE_window_area,SW_window_area,NW_window_area,N_house_area,E_house_area,S_house_area,W_house_area,NE_house_area,SE_house_area,SW_house_area,NW_house_area,N_ratio,E_ratio,S_ratio,W_ratio,NE_ratio,SE_ratio,SW_ratio,NW_ratio
Mattahunt Elementary School,250279002874,42.276004,-71.103212,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maurice J Tobin,250279000291,42.332988,-71.098446,9,0,0,0,14516.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,46072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3150829137002952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael J Perkins,250279000292,42.331311,-71.050521,0,0,0,0,0.0,0.0,0.0,0.0,3,0,26,0,40447.0,0.0,23872.0,0.0,0.0,0.0,0.0,0.0,302755.0,0.0,77233.0,0.0,0.0,0.0,0.0,0.0,0.133596472395171,0.0,0.3090906736757604,0.0
Mildred Avenue K-8,250279002670,42.276108,-71.09133299999999,0,0,0,25,0.0,0.0,0.0,40613.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17202192365687952,0.0,0.0,0.0,0.0
Mission Hill School,250279000946,42.307506,-71.114359,5,0,0,0,25652.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,368619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06959082413006383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozart,250279000294,42.281285,-71.141115,0,0,0,0,0.0,0.0,0.0,0.0,0,12,10,6,0.0,9612.0,12320.0,58621.5,0.0,0.0,0.0,0.0,0.0,28371.0,105570.0,191722.0,0.0,0.0,0.0,0.0,0.0,0.33879665855979696,0.11669982002462821,0.30576303188992393
Nathan Hale,250279000295,42.32548,-71.091144,0,0,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0.0,0.0,10129.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08827143280408527,0.0
New Mission High School,250279000704,42.262966,-71.117887,0,8,0,22,0.0,6985.0,0.0,29556.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,43677.0,0.0,100198.0,0.0,0.0,0.0,0.0,0.0,0.15992398745335074,0.0,0.29497594762370505,0.0,0.0,0.0,0.0
O W Holmes,250279002569,42.296752000000005,-71.075664,0,0,1,8,0.0,0.0,3556.5,4221.0,12,0,0,0,11343.0,0.0,0.0,0.0,0.0,0.0,34261.0,21264.0,81012.0,0.0,0.0,0.0,0.0,0.0,0.10380607688041797,0.19850451467268623,0.1400162938823878,0.0,0.0,0.0
O'Bryant School Math/Science,250279000205,42.331358,-71.088923,0,0,37,0,0.0,0.0,26997.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,314160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08593551056786351,0.0,0.0,0.0,0.0,0.0
Oliver Hazard Perry,250279000297,42.332111,-71.030239,20,0,32,0,55788.5,0.0,84083.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,315986.0,0.0,436800.0,0.0,0.0,0.0,0.0,0.0,0.17655370807567425,0.0,0.1924988553113553,0.0,0.0,0.0,0.0,0.0
Orchard Gardens,250279002006,42.33048,-71.077399,0,0,0,0,0.0,0.0,0.0,0.0,0,20,0,26,0.0,34430.5,0.0,262288.5,0.0,0.0,0.0,0.0,0.0,319912.0,0.0,441324.0,0.0,0.0,0.0,0.0,0.0,0.10762490935007127,0.0,0.5943218587704272
Patrick J Kennedy,250279000302,42.378473,-71.030372,0,0,0,0,0.0,0.0,0.0,0.0,27,16,43,0,42376.5,21848.5,35649.0,0.0,0.0,0.0,0.0,0.0,131500.0,156000.0,135664.0,0.0,0.0,0.0,0.0,0.0,0.322254752851711,0.14005448717948718,0.262774206864017,0.0
Paul A Dever,250279000304,42.317521,-71.042985,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,9,0.0,0.0,0.0,43516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39203603603603604
Pauline Agassiz Shaw Elementary School,250279002839,42.282104,-71.086906,0,0,0,0,0.0,0.0,0.0,0.0,0,0,18,0,0.0,0.0,10977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1636257937572668,0.0
Phineas Bates,250279000308,42.277667,-71.135391,0,0,0,0,0.0,0.0,0.0,0.0,8,0,16,0,10665.5,0.0,74188.0,0.0,0.0,0.0,0.0,0.0,250690.0,0.0,167992.0,0.0,0.0,0.0,0.0,0.0,0.04254457696756951,0.0,0.4416162674413067,0.0
Quincy Upper School,250279001296,42.348369,-71.06893000000001,0,0,59,50,0.0,0.0,15926.0,65033.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,89770.0,389844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17740893394229698,0.1668192918192918,0.0,0.0,0.0,0.0
Rafael Hernandez,250279000312,42.313857,-71.09800899999999,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,29,0.0,0.0,6388.0,29571.0,0.0,0.0,0.0,0.0,0.0,0.0,56807.0,107500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11245093034309152,0.27507906976744184
Richard J Murphy,250279000315,42.294022,-71.04899999999999,0,0,0,1,0.0,0.0,0.0,14982.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860832233858333,0.0,0.0,0.0,0.0
Roger Clap,250279000319,42.323175,-71.058142,0,0,26,0,0.0,0.0,30524.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,115000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26542608695652176,0.0,0.0,0.0,0.0,0.0
Samuel Adams,250279000321,42.365512,-71.034894,0,0,6,0,0.0,0.0,6972.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705553756476684,0.0,0.0,0.0,0.0,0.0
Samuel W Mason,250279000322,42.326074,-71.071302,0,0,0,0,0.0,0.0,0.0,0.0,3,0,0,0,9663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7090028615452344,0.0,0.0,0.0
Sarah Greenwood,250279000323,42.297136,-71.08039000000001,0,6,31,0,0.0,2771.5,60711.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,54412.0,136344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05093545541424686,0.4452781200492871,0.0,0.0,0.0,0.0,0.0
Snowden International School At Copley,250279000217,42.350586,-71.077915,8,0,0,0,3134.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,50578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06197358535331567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techboston Academy,250279002725,42.285247999999996,-71.07583699999999,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The English High,250279000327,42.306235,-71.109548,0,0,15,0,0.0,0.0,45884.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,169320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2709927947082447,0.0,0.0,0.0,0.0,0.0
Thomas J Kenny,250279000332,42.286516,-71.053475,26,0,31,0,19764.0,0.0,51234.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,96612.0,0.0,255636.0,0.0,0.0,0.0,0.0,0.0,0.20457086076263817,0.0,0.2004177815331174,0.0,0.0,0.0,0.0,0.0
Up Academy Charter School Of Boston,250053302713,42.333615,-71.050763,0,0,0,0,0.0,0.0,0.0,0.0,4,12,0,14,6978.5,37030.5,0.0,44872.0,0.0,0.0,0.0,0.0,46233.0,176220.0,0.0,154500.0,0.0,0.0,0.0,0.0,0.1509419678584561,0.2101378958120531,0.0,0.2904336569579288
Up Academy Charter School Of Dorchester,250054902783,42.299787,-71.07096700000001,0,0,5,0,0.0,0.0,18441.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,363165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05077857172359671,0.0,0.0,0.0,0.0,0.0
Up Academy Holland,250279000268,42.306346999999995,-71.073293,0,0,8,4,0.0,0.0,9900.5,17293.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77572.0,231957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12762981488165834,0.07455261104428838,0.0,0.0,0.0,0.0
Warren-Prescott,250279000333,42.378049,-71.064433,0,0,0,0,0.0,0.0,0.0,0.0,0,14,9,0,0.0,39007.5,44143.5,0.0,0.0,0.0,0.0,0.0,0.0,368640.0,164500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10581461588541667,0.2683495440729483,0.0
Warren-Prescott,250279000333,42.378049,-71.064433,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Irving Middle,250279000334,42.283586,-71.12497900000001,0,6,0,6,0.0,10156.0,0.0,6460.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35045.0,0.0,75537.0,0.0,0.0,0.0,0.0,0.0,0.2897988300756171,0.0,0.08552100295219561,0.0,0.0,0.0,0.0
William E Russell,250279000337,42.320318,-71.05963,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Ellery Channing,250279000338,42.2516,-71.133341,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,29244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17349311817750357,0.0,0.0
William H Ohrenberger,250279000339,42.260498,-71.14918,0,7,0,0,0.0,22488.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,108300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20764542936288088,0.0,0.0,0.0,0.0,0.0,0.0
William Mckinley,250279000342,42.344398999999996,-71.073364,13,0,3,0,233969.5,0.0,10833.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,446558.0,0.0,70148.0,0.0,0.0,0.0,0.0,0.0,0.5239397793791624,0.0,0.15443776016422422,0.0,0.0,0.0,0.0,0.0
William Mckinley,250279000342,42.344398999999996,-71.073364,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Mckinley,250279000342,42.344398999999996,-71.073364,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Monroe Trotter,250279000343,42.315709999999996,-71.087889,0,3,0,0,0.0,58364.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,252696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23096724918479122,0.0,0.0,0.0,0.0,0.0,0.0
Winship Elementary,250279000344,42.347552,-71.155435,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Young Achievers,250279000693,42.282270000000004,-71.095014,0,0,0,0,0.0,0.0,0.0,0.0,7,0,0,0,3525.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05092445471616351,0.0,0.0,0.0
