SchoolName,NCESID,Lat,Long,N,E,S,W,N_window_area,E_window_area,S_window_area,W_window_area,NE,SE,SW,NW,NE_window_area,SE_window_area,SW_window_area,NW_window_area,N_house_area,E_house_area,S_house_area,W_house_area,NE_house_area,SE_house_area,SW_house_area,NW_house_area,N_ratio,E_ratio,S_ratio,W_ratio,NE_ratio,SE_ratio,SW_ratio,NW_ratio
Community Academy Of Science And Health,250279001902,42.300956,-71.06130300000001,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Condon K-8,250279000254,42.338158,-71.05292299999999,0,0,0,0,0.0,0.0,0.0,0.0,2,2,9,0,32882.5,48762.0,28935.0,0.0,0.0,0.0,0.0,0.0,307180.0,120980.0,399223.0,0.0,0.0,0.0,0.0,0.0,0.10704635718471255,0.40305835675318236,0.07247828907653116,0.0
Curley K-8 School,250279002622,42.318546999999995,-71.11305300000001,5,0,0,0,25203.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,96196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26199634080419143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curley K-8 School,250279002622,42.318546999999995,-71.11305300000001,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Guild,250279000218,42.388492,-71.004144,11,1,8,0,26000.0,2275.5,31094.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,450378.0,36375.0,342859.0,0.0,0.0,0.0,0.0,0.0,0.05772928517822807,0.06255670103092784,0.09069034209398033,0.0,0.0,0.0,0.0,0.0
Dante Alighieri Montessori School,250279002835,42.371486,-71.03790699999999,0,0,0,0,0.0,0.0,0.0,0.0,15,0,0,0,53128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334508638492923,0.0,0.0,0.0
David A Ellis,250279000220,42.316138,-71.092972,0,0,0,17,0.0,0.0,0.0,50218.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2281487236101457,0.0,0.0,0.0,0.0
Dearborn,250279000222,42.326458,-71.080826,0,8,31,0,0.0,8685.0,157675.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37642.0,510374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23072631634875937,0.3089401105855706,0.0,0.0,0.0,0.0,0.0
Dennis C Haley,250279000223,42.286598,-71.10748199999999,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,5,0.0,0.0,0.0,24471.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12416030766732962
Donald Mckay,250279000224,42.369184999999995,-71.034242,0,0,0,0,0.0,0.0,0.0,0.0,26,46,0,52,18744.5,34868.5,0.0,74880.0,0.0,0.0,0.0,0.0,114000.0,81856.0,0.0,250635.0,0.0,0.0,0.0,0.0,0.16442543859649122,0.42597366106333073,0.0,0.298761146687414
Dr. Catherine Ellison-Rosa Parks Early Ed School,250279001115,42.27174,-71.09181,0,0,0,8,0.0,0.0,0.0,30672.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13986292999671687,0.0,0.0,0.0,0.0
Dr. William Henderson Lower,250279000303,42.293932,-71.062302,0,15,4,0,0.0,33339.5,47421.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,205409.0,151840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16230788329625284,0.312309009483667,0.0,0.0,0.0,0.0,0.0
Dr. William Henderson Upper,250279000952,42.281275,-71.06959599999999,0,14,20,0,0.0,49101.5,57576.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,271825.0,268034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18063643888531225,0.21481043449711604,0.0,0.0,0.0,0.0,0.0
Dudley Street Neighborhood Charter School,250054302763,42.323551,-71.072817,0,0,11,13,0.0,0.0,28632.0,35942.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,97660.0,228780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2931804218718001,0.15710507911530727,0.0,0.0,0.0,0.0
East Boston Early Childhood Center,250279001118,42.369748,-71.034033,24,43,0,0,69184.0,70049.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,113500.0,304535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095506607929515,0.23001953798413977,0.0,0.0,0.0,0.0,0.0,0.0
East Boston High,250279000226,42.381258,-71.034937,0,17,22,0,0.0,27959.5,22839.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,163494.0,74385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1710123918920572,0.3070444310008738,0.0,0.0,0.0,0.0,0.0
Edison K-8,250279002689,42.345538,-71.160232,5,0,0,0,16283.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,189572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08589612390015403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edward Everett,250279000227,42.313656,-71.05979599999999,0,0,0,0,0.0,0.0,0.0,0.0,26,0,0,0,27569.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19449931567733833,0.0,0.0,0.0
Edward M. Kennedy Academy For Health Careers (Horace Mann,250005401258,42.341482,-71.091491,0,0,0,0,0.0,0.0,0.0,0.0,17,6,0,0,8442.5,10922.5,0.0,0.0,0.0,0.0,0.0,0.0,112950.0,135604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07474546259406817,0.08054703401079615,0.0,0.0
Elc - West Zone,250279002514,42.325918,-71.106639,1,0,0,0,10760.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,144727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743503285496141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliot Elementary,250279000230,42.366137,-71.05343,2,0,0,0,26370.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,155480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16960702341137124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliot Elementary,250279000230,42.366137,-71.05343,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ellis Mendell,250279000232,42.316614,-71.101517,0,5,0,0,0.0,5781.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,183195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155926744725566,0.0,0.0,0.0,0.0,0.0,0.0
Excel High School,250279002016,42.332874,-71.04476600000001,33,65,53,0,21166.5,48979.0,74496.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,76318.0,136444.0,180295.0,0.0,0.0,0.0,0.0,0.0,0.277346104457664,0.3589677816540119,0.4131894949943149,0.0,0.0,0.0,0.0,0.0
Fenway High School,250279000695,42.330621,-71.09915600000001,0,0,42,0,0.0,0.0,27308.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32197344840596115,0.0,0.0,0.0,0.0,0.0
Franklin D Roosevelt,250279000239,42.243207,-71.12424399999999,0,5,7,4,0.0,32308.0,11826.5,22284.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,253828.0,63081.0,215180.0,0.0,0.0,0.0,0.0,0.0,0.12728304205997762,0.1874811749972258,0.10356213402732596,0.0,0.0,0.0,0.0
Franklin D Roosevelt,250279000239,42.243207,-71.12424399999999,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Pilot Academy,250279000331,42.360715,-71.134091,0,0,44,21,0.0,0.0,158351.0,44437.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,273960.0,197664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5780077383559644,0.22481079002752144,0.0,0.0,0.0,0.0
George H Conley,250279000241,42.274782,-71.127158,0,0,3,0,0.0,0.0,2625.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05392831467597823,0.0,0.0,0.0,0.0,0.0
Greater Egleston Community High School,250279000837,42.314052000000004,-71.099189,0,0,0,0,0.0,0.0,0.0,0.0,5,0,0,0,166707.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09206630684921521,0.0,0.0,0.0
Harvard-Kent,250279000244,42.37656,-71.057454,0,11,1,0,0.0,417832.0,32778.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1354608.0,805662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30845233454992144,0.040684555061551865,0.0,0.0,0.0,0.0,0.0
Haynes Early Education Center,250279001126,42.315102,-71.07880899999999,4,5,2,0,72582.0,115702.0,247630.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,697380.0,407721.0,1047757.0,0.0,0.0,0.0,0.0,0.0,0.10407812096704809,0.28377738698767047,0.23634344604712734,0.0,0.0,0.0,0.0,0.0
Henry Grew,250279000247,42.256827,-71.127155,0,0,0,0,0.0,0.0,0.0,0.0,26,0,5,0,286740.0,0.0,214372.5,0.0,0.0,0.0,0.0,0.0,804074.0,0.0,1052940.0,0.0,0.0,0.0,0.0,0.0,0.3566089688262523,0.0,0.20359422189298534,0.0
